301665	6119	1503500871
301694	6123	1503548603
301912	6136	1503755820
301913	6136	1503764813
301914	6136	1503766206
301941	6138	1503826322
301959	6140	1503858205
301960	6140	1503902856
301970	6141	1503916815
301984	6142	1503929581
301985	6142	1503936714
301986	6142	1503945270
301987	6142	1503954207
301997	6143	1503989719
301998	6143	1503998371
302019	6146	1504064454
302026	6147	1504075749
302029	6147	1504077398
302031	6147	1504080509
302033	6147	1504100063
302034	6147	1504101282
302037	6147	1504102742
302038	6147	1504103517
302040	6147	1504103743
302041	6147	1504107840
302042	6147	1504109532
302043	6147	1504121717
302131	6152	1504182769
302159	6155	1504226265
302163	6156	1504236803
302165	6156	1504265129
302166	6156	1504267128
302225	6158	1504291163
302228	6159	1504322954
302229	6159	1504328733
302240	6160	1504349629
302262	6161	1504409521
302263	6161	1504419693
302277	6165	1504478693
302279	6165	1504510559
302280	6165	1504512412
302322	6167	1504546983
302328	6168	1504576144
302337	6169	1504603014
302342	6169	1504606541
302343	6169	1504608736
302344	6169	1504611148
302350	6169	1504623738
302388	6170	1504637222
302392	6171	1504663058
302393	6171	1504671549
302448	6174	1504730925
302472	6175	1504783619
302473	6175	1504801977
302474	6175	1504811838
302475	6175	1504819078
302476	6175	1504819352
302479	6176	1504833583
302484	6177	1504850838
302485	6177	1504855045
302492	6177	1504878332
302493	6177	1504879799
302494	6177	1504880004
302509	6179	1504912334
302513	6180	1504923517
302522	6182	1504941697
302523	6182	1504942147
302525	6182	1504943926
302526	6182	1504962058
302548	6185	1505008747
302551	6185	1505011302
302553	6185	1505011855
302554	6185	1505016318
302555	6185	1505016567
302563	6186	1505027538
302565	6186	1505028063
302572	6186	1505033399
302573	6186	1505040286
302596	6189	1505100526
302597	6189	1505122510
302634	6191	1505179316
302635	6191	1505193481
302651	6192	1505234220
302654	6192	1505237881
302661	6193	1505255227
302663	6193	1505257231
303825	6239	1506238702
303832	6240	1506251523
303838	6241	1506304094
303885	6243	1506366559
303948	6245	1506430040
303998	6247	1506495890
303999	6247	1506502304
304000	6247	1506519801
304062	6252	1506544646
304120	6253	1506603639
304125	6253	1506609613
304144	6255	1506663110
304158	6258	1506753243
304169	6259	1506809522
304170	6259	1506848909
304199	6261	1506883953
304200	6261	1506884158
304204	6262	1506901289
304209	6263	1506922430
304291	6266	1506966013
304292	6266	1506966702
304333	6268	1507031417
304354	6269	1507087080
304366	6271	1507108822
304446	6272	1507164408
304447	6272	1507166257
304451	6272	1507205682
304505	6275	1507229596
304506	6275	1507230291
304507	6275	1507239137
304508	6275	1507244824
304562	6276	1507293034
304616	6278	1507328131
304625	6279	1507361753
304626	6279	1507372725
304654	6283	1507425939
304655	6283	1507441192
304661	6284	1507477790
304662	6284	1507482170
304663	6284	1507485689
304671	6285	1507509778
304672	6285	1507536551
304737	6287	1507578790
304738	6287	1507580683
304739	6287	1507620019
304740	6287	1507620328
304776	6288	1507637299
304777	6288	1507638462
304778	6288	1507650428
304797	6291	1507705450
305044	6297	1507928446
305045	6297	1507936268
305046	6297	1507956706
305059	6298	1507981500
305062	6298	1507993999
305063	6298	1507994296
305064	6298	1507995268
305081	6300	1508058335
305112	6303	1508108820
305113	6303	1508143247
305114	6303	1508144723
305178	6304	1508174391
305179	6304	1508175703
305180	6304	1508176243
305181	6304	1508176504
305182	6304	1508176834
305183	6304	1508177097
305184	6304	1508183415
305186	6304	1508183930
305188	6304	1508195225
305202	6305	1508228309
305204	6305	1508246431
305207	6306	1508283244
305208	6306	1508307342
305234	6307	1508324416
305236	6307	1508326123
305237	6307	1508326939
305247	6308	1508371109
305248	6308	1508379990
305252	6308	1508404140
305282	6309	1508426900
305310	6311	1508444882
305311	6311	1508454204
305312	6311	1508457909
305313	6311	1508463348
305314	6311	1508480745
305336	6312	1508501470
305338	6312	1508506359
305341	6312	1508508845
305349	6312	1508520576
305350	6312	1508521383
305351	6312	1508521899
305358	6313	1508551266
305364	6314	1508564602
305365	6314	1508566873
305366	6314	1508586415
305376	6315	1508631070
305377	6315	1508634611
305405	6317	1508696150
305406	6317	1508708701
305440	6318	1508755834
305518	6323	1508820540
305586	6324	1508867217
305589	6324	1508885241
305590	6324	1508901447
305636	6325	1508938071
305766	6337	1509079053
305809	6341	1509146439
305814	6343	1509171429
305821	6344	1509222563
305832	6346	1509276171
305840	6346	1509291542
305842	6346	1509318447
305862	6347	1509362923
305898	6348	1509394932
305902	6349	1509424026
305967	6351	1509466107
306029	6355	1509560921
306030	6355	1509561717
306036	6356	1509576228
306037	6356	1509576387
306038	6356	1509577607
306041	6356	1509581238
306042	6356	1509588863
306048	6356	1509597547
306049	6356	1509600814
306051	6356	1509609613
306092	6358	1509653067
306095	6358	1509676976
306122	6360	1509717198
306126	6360	1509790464

