281727	1	1474999857	281727	1604	1475037247	103000
281797	126	1475064371	281797	2176	1475112176	190612
281975	3	1475205892	281976	2166	1475261428	182866
282033	82	1475271116	282037	1862	1475317712	161020
282092	93	1475416266	282092	2275	1475467141	145547
282708	1	1476002424	282712	68	1476005251	8418
282730	89	1476016988	282734	327	1476036661	92676
282735	1	1476036813	282735	1823	1476079309	135142
282800	1	1476109089	282807	326	1476125714	76849
282814	1	1476125992	282814	1843	1476168952	137757
282842	1	1476182094	282842	80	1476183958	10208
282917	118	1476235714	282919	243	1476244733	40926
282922	1	1476249026	282923	224	1476257530	32218
283042	1	1476311992	283043	519	1476324408	55594
283049	83	1476335203	283059	451	1476356211	86727
283270	77	1476470471	283270	1912	1476513241	180313
283283	4	1476513488	283283	1747	1476554136	100433
283305	80	1476567760	283307	456	1476585685	81277
283308	1	1476586041	283308	948	1476608137	78368
283353	81	1476647808	283353	822	1476665074	86442
283358	1	1476665473	283359	427	1476698526	113709
283407	83	1476741328	283416	243	1476808368	226614
283453	84	1476817748	283453	537	1476828329	54064
283478	77	1476850489	283478	969	1476871278	96754
283548	145	1476917974	283548	288	1476921328	12826
283680	1	1477019925	283685	313	1477039327	59185
283820	67	1477082967	283820	1548	1477117478	126885
283830	1	1477117698	283835	112	1477139391	61063
283865	1	1477157463	283865	1177	1477184899	122629
283876	65	1477193994	283876	724	1477209357	74527
283877	1	1477209648	283877	1495	1477244496	119918
283884	349	1477266319	283885	1723	1477316147	180598
283933	89	1477334033	283934	1291	1477367742	143409
283946	86	1477380735	283964	388	1477422068	167601
284006	74	1477446889	284014	266	1477460610	51571
284025	110	1477472260	284044	29	1477515494	163014
